fifa_id,name,squad_id,team,position,price,status,total_points,avg_points,matches_played,percent_selected,round_1_points,round_2_points,round_3_points,round_4_points,next_fixture,betano_matched_name,betano_match_score,anytime_scorer_odd,anytime_scorer_prob,first_scorer_odd,first_scorer_prob,last_scorer_odd,match_home,match_away,is_home,opponent,match_home_win_odd,match_draw_odd,match_away_win_odd,match_btts_prob,match_over_25_odd,match_over_25_prob,match_over_35_odd,team_over_05_odd,team_over_15_odd,team_score_prob,team_score_2_prob,team_cs_prob,team_qualify_odd,team_win2_odd,opp_over_05_odd,opp_score_prob,opp_cs_prob,stat_GS,stat_AS,stat_CS,stat_GC,stat_MP,stat_YC,stat_RC,stat_ST,stat_SB,stat_CC,stat_PS,stat_T,stat_S,stat_SXI,stat_OG,stat_PC,stat_PW,stat_FK,round_1_SXI,round_1_MP,round_1_AS,round_1_YC,round_1_RC,round_1_OG,round_1_PW,round_1_PC,round_1_CS,round_1_GS,round_1_GC,round_1_PS,round_1_T,round_1_CC,round_1_ST,round_1_FK,round_1_S,round_1_SB,round_2_SXI,round_2_MP,round_2_AS,round_2_YC,round_2_RC,round_2_OG,round_2_PW,round_2_PC,round_2_CS,round_2_GS,round_2_GC,round_2_PS,round_2_T,round_2_CC,round_2_ST,round_2_FK,round_2_S,round_2_SB,round_3_SXI,round_3_MP,round_3_AS,round_3_YC,round_3_RC,round_3_OG,round_3_PW,round_3_PC,round_3_CS,round_3_GS,round_3_GC,round_3_PS,round_3_T,round_3_CC,round_3_ST,round_3_FK,round_3_S,round_3_SB,round_4_SXI,round_4_MP,round_4_AS,round_4_YC,round_4_RC,round_4_OG,round_4_PW,round_4_PC,round_4_CS,round_4_GS,round_4_GC,round_4_PS,round_4_T,round_4_CC,round_4_ST,round_4_FK,round_4_S,round_4_SB
1322,Lautaro Di Lollo,2,Argentina,DEF,3.5,transferred,0,0.0,0,0.0,,,,,,,,150.0,0.0067,,,,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,Gonzalo Montiel,2,Argentina,DEF,4.3,playing,1,0.5,2,0.2,1.0,,,0.0,,Gonzalo Montiel,100.0,6.1,0.1639,14.5,0.069,14.5,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,2.0,0.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1324,Kevin Mac Allister,2,Argentina,DEF,3.8,transferred,0,0.0,0,0.1,,,,,,,,150.0,0.0067,,,,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,Leonardo Balerdi,2,Argentina,DEF,4.0,transferred,0,0.0,0,0.1,,,,,,,,150.0,0.0067,,,,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,Giovani Lo Celso,2,Argentina,MID,6.2,playing,11,11.0,1,0.1,,,11.0,,,Giovani Lo Celso,100.0,4.25,0.2353,9.75,0.1026,9.75,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,1.0,0.0,0.0,1.0,60.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
1327,Emiliano Buendía,2,Argentina,MID,6.5,transferred,0,0.0,0,0.0,,,,,,,,150.0,0.0067,,,,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,Aníbal Moreno,2,Argentina,MID,5.0,transferred,0,0.0,0,0.1,,,,,,,,150.0,0.0067,,,,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,Equi Fernández,2,Argentina,MID,5.0,transferred,0,0.0,0,0.1,,,,,,Enzo Fernández,78.57142857142857,4.25,0.2353,9.75,0.1026,9.75,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,Guido Rodríguez,2,Argentina,MID,5.6,transferred,0,0.0,0,0.0,,,,,,,,150.0,0.0067,,,,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,Alan Varela,2,Argentina,MID,5.0,transferred,0,0.0,0,0.1,,,,,,,,150.0,0.0067,,,,Argentina,Egypt,True,Egypt,1.35,4.85,9.5,0.4076,1.83,0.4845,2.9,1.11,1.55,0.809,0.6452,0.5455,1.14,,1.98,0.4545,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
