fifa_id,name,squad_id,team,position,price,status,total_points,avg_points,matches_played,percent_selected,round_1_points,round_2_points,round_3_points,round_4_points,next_fixture,betano_matched_name,betano_match_score,anytime_scorer_odd,anytime_scorer_prob,first_scorer_odd,first_scorer_prob,last_scorer_odd,match_home,match_away,is_home,opponent,match_home_win_odd,match_draw_odd,match_away_win_odd,match_btts_prob,match_over_25_odd,match_over_25_prob,match_over_35_odd,team_over_05_odd,team_over_15_odd,team_score_prob,team_score_2_prob,team_cs_prob,team_qualify_odd,team_win2_odd,opp_over_05_odd,opp_score_prob,opp_cs_prob,stat_GS,stat_AS,stat_CS,stat_GC,stat_MP,stat_YC,stat_RC,stat_ST,stat_SB,stat_CC,stat_PS,stat_T,stat_S,stat_SXI,stat_OG,stat_PC,stat_PW,stat_FK,fbref_MP,fbref_Starts,fbref_Min,fbref_90s,fbref_Gls,fbref_Ast,fbref_G+A,fbref_G-PK,fbref_TklW,fbref_Int,fbref_GA,fbref_Saves,fbref_CS,fbref_PKA,fbref_PKsv,fbref_CrdY,fbref_CrdR,fbref_PK,fbref_PKatt,fbref_SoTA,fbref_PKm,fbref_Sh,fbref_SoT,fbref_Fls,fbref_Fld,fbref_Off,fbref_Crs,fbref_OG,fbref_2CrdY,fbref_Save%,fbref_CS%,fbref_GA90,fbref_SoT%,fbref_Sh/90,fbref_SoT/90,fbref_G/Sh,fbref_G/SoT,fbref_Pos,fbref_Squad,fbref_Comp,fbref_Age,fbref_fbref_multi_club,fbref_matched_player,fbref_match_dist
1,Rayan Aït-Nouri,1,Algeria,DEF,4.9,playing,3,1.0,3,0.9,0.0,2.0,1.0,,88.0,Rayan Aït Nouri,93.33333333333331,11.0,0.0909,28.0,0.0357,29.0,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,0.0,5.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17,12,974,10.8,0,2,2,0,21,13,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,10,2,17,10,0,22,0,0,,,,20.0,0.92,0.18,0.0,0.0,DF,Manchester City,eng Premier League,24.0,False,Rayan Aït-Nouri,0
2,Ramy Bensebaini,1,Algeria,DEF,4.4,playing,7,2.3,3,0.2,0.0,7.0,0.0,,88.0,Ramy Bensebaini,100.0,7.8,0.1282,19.0,0.0526,19.5,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,1.0,0.0,7.0,270.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,21,15,1530,17.0,5,2,7,3,14,18,0.0,0.0,0.0,0.0,0.0,6,0,2,2,0.0,0.0,17,7,31,16,1,11,0,0,,,,41.2,1.0,0.41,0.18,0.43,DF,Dortmund,de Bundesliga,30.0,False,Ramy Bensebaini,0
3,Aïssa Mandi,1,Algeria,DEF,3.9,playing,2,0.7,3,0.1,0.0,2.0,0.0,,88.0,Aissa Mandi,100.0,12.5,0.08,30.0,0.0333,32.0,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,0.0,7.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,29,28,2424,26.9,1,0,1,1,21,44,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0.0,0.0,14,4,17,17,1,10,0,0,,,,28.6,0.52,0.15,0.07,0.25,DF,Lille,fr Ligue 1,33.0,False,Aïssa Mandi,0
5,Zinéddine Belaïd,1,Algeria,DEF,3.7,playing,2,1.0,2,0.0,,1.0,1.0,,88.0,Zineddine Belaid,100.0,12.5,0.08,30.0,0.0333,32.0,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Rafik Belghali,1,Algeria,DEF,3.5,playing,12,4.0,3,1.5,0.0,2.0,10.0,,88.0,Rafik Belghali,100.0,9.75,0.1026,24.0,0.0417,25.0,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,1.0,0.0,0.0,6.0,251.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26,22,1920,21.3,2,0,2,2,13,17,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,0.0,21,6,20,10,6,60,0,0,,,,28.6,0.98,0.28,0.1,0.33,MF,Hellas Verona,it Serie A,23.0,False,Rafik Belghali,0
8,Achref Abada,1,Algeria,DEF,3.5,playing,0,0.0,0,0.6,,,,,88.0,Achref Abada,100.0,15.5,0.0645,40.0,0.025,45.0,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mohammed Amoura,1,Algeria,FWD,6.2,playing,1,1.0,1,0.1,1.0,,,,88.0,,,150.0,0.0067,,,,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,23,1919,21.3,8,3,11,7,22,7,0.0,0.0,0.0,0.0,0.0,2,0,1,1,0.0,0.0,60,19,21,11,12,34,0,0,,,,31.7,2.81,0.89,0.12,0.37,"FW,MF",Wolfsburg,de Bundesliga,25.0,False,Mohamed Amoura,1
10,Amine Gouiri,1,Algeria,FWD,6.2,playing,14,4.7,3,0.1,2.0,10.0,2.0,,88.0,Amine Gouiri,100.0,3.5,0.2857,7.9,0.1266,7.9,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,1.0,0.0,0.0,5.0,221.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,15,1326,14.7,8,3,11,8,9,3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,38,17,17,16,4,37,0,0,,,,44.7,2.58,1.15,0.21,0.47,"FW,MF",Marseille,fr Ligue 1,25.0,False,Amine Gouiri,0
11,Riyad Mahrez,1,Algeria,MID,6.5,playing,24,8.0,3,1.1,1.0,7.0,16.0,,88.0,Riyad Mahrez,100.0,3.65,0.274,8.25,0.1212,8.25,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,2.0,1.0,0.0,5.0,192.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Ibrahim Maza,1,Algeria,FWD,5.4,playing,7,2.3,3,0.2,2.0,3.0,2.0,,88.0,Ibrahim Maza,100.0,5.0,0.2,11.75,0.0851,12.0,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,0.0,7.0,262.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28,20,1849,20.5,3,4,7,3,24,16,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,54,17,19,36,3,64,0,0,,,,31.5,2.63,0.83,0.06,0.18,MF,Leverkusen,de Bundesliga,19.0,False,Ibrahim Maza,0
13,Anis Hadj Moussa,1,Algeria,FWD,5.3,playing,3,1.5,2,0.1,2.0,1.0,,,88.0,Anis Hadj Moussa,100.0,5.0,0.2,11.75,0.0851,12.0,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,1.0,2.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Farès Ghedjemis,1,Algeria,FWD,4.4,playing,1,1.0,1,0.0,,,1.0,,88.0,Farès Ghedjemis,100.0,4.65,0.2151,10.75,0.093,11.0,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ahmed Benbouali,1,Algeria,FWD,4.2,playing,9,9.0,1,0.1,,9.0,,,88.0,Nadhir Benbouali,100.0,3.5,0.2857,7.9,0.1266,7.9,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,1.0,0.0,1.0,0.0,45.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Luca Zidane,1,Algeria,GK,3.8,playing,4,2.0,2,0.9,1.0,3.0,,,88.0,,,150.0,0.0067,,,,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,0.0,4.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Melvin Mastil,1,Algeria,GK,3.5,playing,0,0.0,0,1.8,,,,,88.0,,,150.0,0.0067,,,,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Adil Boulbina,1,Algeria,MID,4.0,playing,1,1.0,1,2.0,1.0,,,,88.0,Adil Boulbina,100.0,3.65,0.274,8.25,0.1212,8.25,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Yacine Titraoui,1,Algeria,MID,4.7,playing,0,0.0,0,0.0,,,,,88.0,Yacine Titraoui,100.0,6.8,0.1471,16.5,0.0606,16.5,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ramiz Zerrouki,1,Algeria,MID,5.3,playing,1,0.5,2,0.0,1.0,0.0,,,88.0,Ramiz Zerrouki,100.0,9.25,0.1081,23.0,0.0435,23.0,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,1.0,1.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Hicham Boudaoui,1,Algeria,MID,5.5,playing,3,1.5,2,0.0,2.0,1.0,,,88.0,Hicham Boudaoui,100.0,7.8,0.1282,19.0,0.0526,19.5,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,0.0,3.0,109.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25,18,1694,18.8,1,2,3,1,16,18,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0.0,0.0,21,9,19,40,2,19,0,0,,,,42.9,1.12,0.48,0.05,0.11,MF,Nice,fr Ligue 1,25.0,False,Hicham Boudaoui,0
26,Houssem Aouar,1,Algeria,MID,6.0,playing,12,6.0,2,0.1,1.0,,11.0,,88.0,Houssem Aouar,100.0,4.65,0.2151,10.75,0.093,11.0,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,2.0,0.0,3.0,115.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Farès Chaïbi,1,Algeria,MID,6.2,playing,6,2.0,3,0.0,2.0,2.0,2.0,,88.0,Fares Chaibi,100.0,5.8,0.1724,13.5,0.0741,14.0,Switzerland,Algeria,False,Switzerland,2.02,3.25,4.0,0.5141,1.95,0.4538,3.05,1.45,3.0,0.6204,0.3333,0.2657,2.3,3.65,1.23,0.7343,0.3796,0.0,0.0,0.0,7.0,270.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28,21,1792,19.9,2,9,11,2,21,13,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,35,9,14,21,5,91,0,0,,,,25.7,1.76,0.45,0.06,0.22,MF,Eintracht Frankfurt,de Bundesliga,22.0,False,Fares Chaïbi,0
28,Cristian Romero,2,Argentina,DEF,4.9,playing,10,5.0,2,5.5,9.0,1.0,,,80.0,Cristian Romero,100.0,6.1,0.1639,16.0,0.0625,16.5,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,2.0,0.0,137.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23,22,1868,20.8,4,1,5,4,30,31,0.0,0.0,0.0,0.0,0.0,11,2,0,0,0.0,0.0,17,6,32,16,1,1,0,1,,,,35.3,0.82,0.29,0.24,0.67,DF,Tottenham Hotspur,eng Premier League,27.0,False,Cristian Romero,0
29,Marcos Senesi,2,Argentina,DEF,4.7,playing,4,4.0,1,0.3,,,4.0,,80.0,Marcos Senesi,100.0,6.1,0.1639,16.0,0.0625,16.5,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37,37,3288,36.5,0,5,5,0,34,50,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0.0,0.0,17,5,35,37,1,28,0,0,,,,29.4,0.47,0.14,0.0,0.0,DF,Bournemouth,eng Premier League,28.0,False,Marcos Senesi,0
30,Nahuel Molina,2,Argentina,DEF,4.4,playing,10,5.0,2,4.1,1.0,9.0,,,80.0,Nahuel Molina,100.0,9.25,0.1081,25.0,0.04,25.0,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,2.0,0.0,135.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26,13,1331,14.8,2,2,4,2,24,14,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0.0,0.0,14,4,14,5,5,49,0,0,,,,28.6,0.95,0.27,0.14,0.5,"DF,MF",Atlético Madrid,es La Liga,27.0,False,Nahuel Molina,0
31,Nicolás Otamendi,2,Argentina,DEF,4.4,playing,4,1.3,3,1.7,1.0,1.0,2.0,,80.0,Nicolás Otamendi,100.0,7.2,0.1389,19.0,0.0526,19.5,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,2.0,1.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Nicolás Tagliafico,2,Argentina,DEF,4.3,playing,3,1.5,2,0.6,,1.0,2.0,,80.0,Nicolás Tagliafico,100.0,7.2,0.1389,19.0,0.0526,19.5,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,1.0,1.0,98.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,14,1310,14.6,0,3,3,0,14,17,0.0,0.0,0.0,0.0,0.0,5,2,0,0,0.0,0.0,15,1,36,33,2,20,0,1,,,,6.7,1.03,0.07,0.0,0.0,DF,Lyon,fr Ligue 1,32.0,False,Nicolás Tagliafico,0
38,Lionel Messi,2,Argentina,FWD,10.0,playing,40,13.3,3,50.2,19.0,14.0,7.0,,80.0,Lionel Messi,100.0,1.47,0.6803,2.7,0.3704,2.7,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,6.0,0.0,3.0,0.0,200.0,0.0,0.0,9.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Julián Alvarez,2,Argentina,FWD,8.6,playing,4,1.3,3,8.2,1.0,1.0,2.0,,80.0,Julián Álvarez,100.0,1.83,0.5464,3.8,0.2632,3.8,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,2.0,1.0,143.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,22,1895,21.1,8,4,12,6,13,3,0.0,0.0,0.0,0.0,0.0,2,0,2,3,0.0,0.0,54,26,14,18,2,86,0,0,,,,48.1,2.56,1.23,0.11,0.23,FW,Atlético Madrid,es La Liga,25.0,False,Julián Álvarez,0
41,Giuliano Simeone,2,Argentina,MID,5.6,playing,2,2.0,1,0.5,,,2.0,,80.0,Giuliano Simeone,100.0,2.87,0.3484,6.8,0.1471,6.8,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,0.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31,25,2099,23.3,4,6,10,4,25,20,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,36,14,21,40,7,48,0,0,,,,38.9,1.54,0.6,0.11,0.29,MF,Atlético Madrid,es La Liga,22.0,False,Giuliano Simeone,0
42,Nico González,2,Argentina,MID,5.6,playing,5,2.5,2,0.2,4.0,1.0,,,80.0,Nico Gonzalez,100.0,3.75,0.2667,9.25,0.1081,9.5,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,1.0,2.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,José Manuel López,2,Argentina,FWD,5.3,playing,1,1.0,1,0.1,,,1.0,,80.0,Flaco Lopez,100.0,2.05,0.4878,4.45,0.2247,4.45,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Emiliano Martínez,2,Argentina,GK,5.0,playing,16,5.3,3,35.4,7.0,7.0,2.0,,80.0,Lisandro Martínez,82.35294117647058,9.25,0.1081,25.0,0.04,25.0,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,2.0,1.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32,32,2835,31.5,0,1,1,0,0,0,39.0,95.0,8.0,0.0,1.0,2,0,0,0,133.0,0.0,0,0,0,17,0,0,0,0,70.7,25.0,1.24,,0.0,0.0,,,GK,Aston Villa,eng Premier League,32.0,False,Emiliano Martínez,0
46,Gerónimo Rulli,2,Argentina,GK,4.5,playing,0,0.0,0,0.2,,,,,80.0,,,150.0,0.0067,,,,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,29,2610,29.0,0,0,0,0,0,0,34.0,76.0,8.0,5.0,0.0,3,0,0,0,105.0,1.0,1,0,1,14,0,0,0,0,72.4,27.6,1.17,0.0,0.03,0.0,0.0,,GK,Marseille,fr Ligue 1,33.0,False,Gerónimo Rulli,0
47,Juan Musso,2,Argentina,GK,4.3,playing,0,0.0,0,0.1,,,,,80.0,,,150.0,0.0067,,,,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,720,8.0,0,0,0,0,0,0,13.0,22.0,3.0,3.0,0.0,2,0,0,0,32.0,0.0,0,0,1,3,0,0,0,0,68.8,37.5,1.62,,0.0,0.0,,,GK,Atlético Madrid,es La Liga,31.0,False,Juan Musso,0
48,Leandro Paredes,2,Argentina,MID,5.6,playing,2,1.0,2,0.2,,0.0,2.0,,80.0,Leandro Paredes,100.0,4.65,0.2151,12.0,0.0833,12.0,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,1.0,1.0,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Rodrigo De Paul,2,Argentina,MID,5.9,playing,12,6.0,2,2.1,9.0,3.0,,,80.0,Rodrigo de Paul,100.0,5.4,0.1852,14.0,0.0714,14.0,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,1.0,2.0,0.0,172.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Nico Paz,2,Argentina,MID,5.9,playing,3,1.5,2,0.8,1.0,,2.0,,80.0,Nico Paz,100.0,2.87,0.3484,6.8,0.1471,6.8,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,1.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Valentín Barco,2,Argentina,MID,6.2,playing,1,1.0,1,0.2,,,1.0,,80.0,Valentin Barco,100.0,4.65,0.2151,12.0,0.0833,12.0,Argentina,Cabo Verde,True,Cabo Verde,1.17,6.9,19.5,0.3648,1.57,0.5627,2.35,1.06,1.31,0.852,0.7634,0.6204,1.05,1.14,2.37,0.3796,0.148,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,24,2168,24.1,2,4,6,2,33,14,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0.0,0.0,27,10,24,61,2,103,0,0,,,,37.0,1.12,0.42,0.07,0.2,MF,Strasbourg,fr Ligue 1,21.0,False,Valentín Barco,0
