fifa_id,name,squad_id,team,position,price,status,total_points,avg_points,matches_played,percent_selected,round_1_points,round_2_points,round_3_points,round_4_points,next_fixture,betano_matched_name,betano_match_score,anytime_scorer_odd,anytime_scorer_prob,first_scorer_odd,first_scorer_prob,last_scorer_odd,match_home,match_away,is_home,opponent,match_home_win_odd,match_draw_odd,match_away_win_odd,match_btts_prob,match_over_25_odd,match_over_25_prob,match_over_35_odd,team_over_05_odd,team_over_15_odd,team_score_prob,team_score_2_prob,team_cs_prob,team_qualify_odd,team_win2_odd,opp_over_05_odd,opp_score_prob,opp_cs_prob,stat_GS,stat_AS,stat_CS,stat_GC,stat_MP,stat_YC,stat_RC,stat_ST,stat_SB,stat_CC,stat_PS,stat_T,stat_S,stat_SXI,stat_OG,stat_PC,stat_PW,stat_FK,fbref_MP,fbref_Starts,fbref_Min,fbref_90s,fbref_Gls,fbref_Ast,fbref_G+A,fbref_G-PK,fbref_TklW,fbref_Int,fbref_GA,fbref_Saves,fbref_CS,fbref_PKA,fbref_PKsv,fbref_CrdY,fbref_CrdR,fbref_PK,fbref_PKatt,fbref_SoTA,fbref_PKm,fbref_Sh,fbref_SoT,fbref_Fls,fbref_Fld,fbref_Off,fbref_Crs,fbref_OG,fbref_2CrdY,fbref_Save%,fbref_CS%,fbref_GA90,fbref_SoT%,fbref_Sh/90,fbref_SoT/90,fbref_G/Sh,fbref_G/SoT,fbref_Pos,fbref_Squad,fbref_Comp,fbref_Age,fbref_fbref_multi_club,fbref_matched_player,fbref_match_dist
924,João Félix,35,Portugal,FWD,6.5,playing,4,2.0,2,1.3,,2.0,2.0,,85.0,João Félix,100.0,3.5,0.2857,7.7,0.1299,7.7,Portugal,Croatia,True,Croatia,1.8,3.6,4.6,0.4859,1.91,0.4635,3.1,1.2,1.9,0.7526,0.5263,0.4189,1.37,1.75,1.55,0.5811,0.2474,0.0,0.0,2.0,0.0,134.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Pedro Neto,35,Portugal,MID,6.4,playing,14,4.7,3,0.7,7.0,4.0,3.0,,85.0,Pedro Neto,100.0,4.65,0.2151,10.5,0.0952,10.75,Portugal,Croatia,True,Croatia,1.8,3.6,4.6,0.4859,1.91,0.4635,3.1,1.2,1.9,0.7526,0.5263,0.4189,1.37,1.75,1.55,0.5811,0.2474,0.0,2.0,2.0,1.0,206.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,30,2631,29.2,5,6,11,5,11,6,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0.0,0.0,46,13,17,25,6,184,0,1,,,,28.3,1.57,0.44,0.11,0.38,"MF,FW",Chelsea,eng Premier League,25.0,False,Pedro Neto,0
926,Trincão,35,Portugal,FWD,5.9,playing,1,1.0,1,0.1,,1.0,,,85.0,Francisco Trincão,100.0,3.8,0.2632,8.25,0.1212,8.5,Portugal,Croatia,True,Croatia,1.8,3.6,4.6,0.4859,1.91,0.4635,3.1,1.2,1.9,0.7526,0.5263,0.4189,1.37,1.75,1.55,0.5811,0.2474,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Gonçalo Guedes,35,Portugal,FWD,5.8,playing,0,0.0,0,0.1,,,,,85.0,Gonçalo Guedes,100.0,2.92,0.3425,6.2,0.1613,6.2,Portugal,Croatia,True,Croatia,1.8,3.6,4.6,0.4859,1.91,0.4635,3.1,1.2,1.9,0.7526,0.5263,0.4189,1.37,1.75,1.55,0.5811,0.2474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,22,1823,20.3,8,4,12,8,16,4,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,46,18,18,33,13,70,0,0,,,,39.1,2.27,0.89,0.17,0.44,MF,Real Sociedad,es La Liga,28.0,False,Gonçalo Guedes,0
928,Francisco Conceição,35,Portugal,MID,5.7,playing,2,1.0,2,0.2,1.0,1.0,,,85.0,Francisco Conceição,100.0,3.9,0.2564,8.75,0.1143,8.75,Portugal,Croatia,True,Croatia,1.8,3.6,4.6,0.4859,1.91,0.4635,3.1,1.2,1.9,0.7526,0.5263,0.4189,1.37,1.75,1.55,0.5811,0.2474,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,31,27,2078,23.1,3,5,8,3,26,7,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,73,23,32,40,3,92,0,0,,,,31.5,3.16,1.0,0.04,0.13,"MF,FW",Juventus,it Serie A,22.0,True,Francisco Conceição,0
931,Rui Silva,35,Portugal,GK,4.7,playing,0,0.0,0,0.5,,,,,85.0,,,150.0,0.0067,,,,Portugal,Croatia,True,Croatia,1.8,3.6,4.6,0.4859,1.91,0.4635,3.1,1.2,1.9,0.7526,0.5263,0.4189,1.37,1.75,1.55,0.5811,0.2474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,José Sá,35,Portugal,GK,4.7,playing,0,0.0,0,0.4,,,,,85.0,,,150.0,0.0067,,,,Portugal,Croatia,True,Croatia,1.8,3.6,4.6,0.4859,1.91,0.4635,3.1,1.2,1.9,0.7526,0.5263,0.4189,1.37,1.75,1.55,0.5811,0.2474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,23,2070,23.0,0,0,0,0,0,0,37.0,65.0,4.0,3.0,0.0,2,0,0,0,99.0,0.0,0,0,0,6,0,0,0,0,65.7,17.4,1.61,,0.0,0.0,,,GK,Wolves,eng Premier League,32.0,False,José Sá,0
934,Rúben Neves,35,Portugal,MID,5.9,playing,1,1.0,1,0.2,,,1.0,,85.0,Rúben Neves,100.0,6.1,0.1639,14.5,0.069,14.5,Portugal,Croatia,True,Croatia,1.8,3.6,4.6,0.4859,1.91,0.4635,3.1,1.2,1.9,0.7526,0.5263,0.4189,1.37,1.75,1.55,0.5811,0.2474,0.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Matheus Nunes,35,Portugal,MID,6.1,playing,1,1.0,1,0.1,,,1.0,,85.0,Matheus Nunes,100.0,9.25,0.1081,22.0,0.0455,23.0,Portugal,Croatia,True,Croatia,1.8,3.6,4.6,0.4859,1.91,0.4635,3.1,1.2,1.9,0.7526,0.5263,0.4189,1.37,1.75,1.55,0.5811,0.2474,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,32,2862,31.8,1,5,6,1,41,29,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0.0,0.0,7,2,17,30,4,67,0,0,,,,28.6,0.22,0.06,0.14,0.5,DF,Manchester City,eng Premier League,26.0,False,Matheus Nunes,0
936,Vitinha,35,Portugal,MID,6.4,playing,8,2.7,3,7.8,2.0,3.0,3.0,,85.0,Vitinha,100.0,6.1,0.1639,14.5,0.069,14.5,Portugal,Croatia,True,Croatia,1.8,3.6,4.6,0.4859,1.91,0.4635,3.1,1.2,1.9,0.7526,0.5263,0.4189,1.37,1.75,1.55,0.5811,0.2474,0.0,0.0,2.0,1.0,236.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,52,4345,48.2,6,8,14,6,52,40,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,99,30,47,89,14,88,0,0,,,,30.8,2.63,0.81,0.08,0.25,"FW,MF",Genoa / Paris Saint-Germain,it Serie A,25.0,False,Vitinha,0
937,João Neves,35,Portugal,MID,6.5,playing,14,4.7,3,4.7,10.0,3.0,1.0,,85.0,João Neves,100.0,6.1,0.1639,14.5,0.069,14.5,Portugal,Croatia,True,Croatia,1.8,3.6,4.6,0.4859,1.91,0.4635,3.1,1.2,1.9,0.7526,0.5263,0.4189,1.37,1.75,1.55,0.5811,0.2474,1.0,0.0,2.0,1.0,211.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21,13,1287,14.3,5,1,6,5,14,6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,27,6,13,13,0,4,0,0,,,,22.2,1.89,0.42,0.19,0.83,MF,Paris Saint-Germain,fr Ligue 1,20.0,False,João Neves,0
939,Bruno Fernandes,35,Portugal,MID,8.5,playing,13,4.3,3,30.3,3.0,7.0,3.0,,85.0,Bruno Fernandes,100.0,3.7,0.2703,8.0,0.125,8.0,Portugal,Croatia,True,Croatia,1.8,3.6,4.6,0.4859,1.91,0.4635,3.1,1.2,1.9,0.7526,0.5263,0.4189,1.37,1.75,1.55,0.5811,0.2474,0.0,1.0,2.0,1.0,270.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,35,35,3063,34.0,9,21,30,5,35,21,0.0,0.0,0.0,0.0,0.0,5,0,4,6,0.0,0.0,85,24,24,35,4,181,0,0,,,,28.2,2.5,0.71,0.06,0.21,MF,Manchester Utd,eng Premier League,30.0,False,Bruno Fernandes,0
1029,Idrissa Gueye,39,Senegal,MID,4.9,playing,8,2.7,3,0.2,2.0,2.0,4.0,,84.0,Idrissa Gana Gueye,83.87096774193549,8.5,0.1176,20.0,0.05,21.0,Belgium,Senegal,False,Belgium,2.2,3.25,3.5,0.507,1.95,0.4538,3.1,1.42,2.82,0.635,0.3546,0.2809,2.15,3.2,1.25,0.7191,0.365,0.0,0.0,1.0,5.0,268.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2,553,6.2,1,0,1,1,6,3,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,22,6,18,11,3,4,0,0,,,,30.0,4.28,1.28,0.05,0.17,FW,Udinese / Metz,it Serie A,18.0,False,Idrissa Guèye,0
1030,Pape Matar Sarr,39,Senegal,MID,5.6,playing,1,1.0,1,0.3,,1.0,,,84.0,Pape Sarr,100.0,6.8,0.1471,16.0,0.0625,16.0,Belgium,Senegal,False,Belgium,2.2,3.25,3.5,0.507,1.95,0.4538,3.1,1.42,2.82,0.635,0.3546,0.2809,2.15,3.2,1.25,0.7191,0.365,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,13,1397,15.5,2,4,6,2,21,14,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,17,6,29,13,3,8,0,0,,,,35.3,1.1,0.39,0.12,0.33,MF,Tottenham Hotspur,eng Premier League,22.0,False,Pape Matar Sarr,0
1031,Pathé Ciss,39,Senegal,MID,5.6,playing,3,1.0,3,0.0,1.0,1.0,1.0,,84.0,Pathe Ciss,100.0,7.8,0.1282,18.5,0.0541,19.0,Belgium,Senegal,False,Belgium,2.2,3.25,3.5,0.507,1.95,0.4538,3.1,1.42,2.82,0.635,0.3546,0.2809,2.15,3.2,1.25,0.7191,0.365,0.0,0.0,2.0,1.0,61.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,20,1998,22.2,2,1,3,2,35,35,0.0,0.0,0.0,0.0,0.0,9,2,0,0,0.0,0.0,20,8,30,13,2,1,0,0,,,,40.0,0.9,0.36,0.1,0.25,"MF,DF",Rayo Vallecano,es La Liga,31.0,False,Pathé Ciss,0
1032,Pape Gueye,39,Senegal,MID,5.9,playing,20,6.7,3,0.3,2.0,1.0,17.0,,84.0,Pape Gueye,100.0,6.5,0.1538,15.0,0.0667,15.5,Belgium,Senegal,False,Belgium,2.2,3.25,3.5,0.507,1.95,0.4538,3.1,1.42,2.82,0.635,0.3546,0.2809,2.15,3.2,1.25,0.7191,0.365,2.0,1.0,1.0,4.0,170.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30,26,2131,23.7,5,2,7,4,22,35,0.0,0.0,0.0,0.0,0.0,8,0,1,1,0.0,0.0,47,13,35,54,2,14,0,0,,,,27.7,1.98,0.55,0.09,0.31,MF,Villarreal,es La Liga,26.0,False,Pape Gueye,0
1033,Mamadou Sarr,39,Senegal,DEF,4.7,playing,0,0.0,0,0.2,,,,,84.0,Mamadou Sarr,100.0,13.5,0.0741,32.0,0.0312,35.0,Belgium,Senegal,False,Belgium,2.2,3.25,3.5,0.507,1.95,0.4538,3.1,1.42,2.82,0.635,0.3546,0.2809,2.15,3.2,1.25,0.7191,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,16,1407,15.6,0,0,0,0,13,6,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,2,0,16,11,0,0,0,0,,,,0.0,0.07,0.0,0.0,,DF,Strasbourg / Chelsea,fr Ligue 1,19.0,False,Mamadou Sarr,0
1034,Moussa Niakhaté,39,Senegal,DEF,4.3,playing,9,3.0,3,0.1,0.0,0.0,9.0,,84.0,Moussa Niakhaté,100.0,12.0,0.0833,30.0,0.0333,32.0,Belgium,Senegal,False,Belgium,2.2,3.25,3.5,0.507,1.95,0.4538,3.1,1.42,2.82,0.635,0.3546,0.2809,2.15,3.2,1.25,0.7191,0.365,0.0,0.0,1.0,6.0,270.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,32,30,2759,30.7,0,2,2,0,22,32,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,4,0,38,32,0,6,0,0,,,,0.0,0.13,0.0,0.0,,DF,Lyon,fr Ligue 1,29.0,False,Moussa Niakhate,0
1035,El Hadji Malick Diouf,39,Senegal,DEF,4.1,playing,0,0.0,2,0.6,0.0,0.0,,,84.0,El Hadji Malick Diouf,100.0,7.8,0.1282,18.5,0.0541,19.0,Belgium,Senegal,False,Belgium,2.2,3.25,3.5,0.507,1.95,0.4538,3.1,1.42,2.82,0.635,0.3546,0.2809,2.15,3.2,1.25,0.7191,0.365,0.0,0.0,0.0,5.0,144.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32,30,2707,30.1,0,5,5,0,19,32,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,0.0,18,4,28,25,2,109,0,0,,,,22.2,0.6,0.13,0.0,0.0,"DF,MF",West Ham United,eng Premier League,20.0,False,El Hadji Malick Diouf,0
1036,Ismail Jakobs,39,Senegal,DEF,4.1,playing,10,5.0,2,0.0,,1.0,9.0,,84.0,Ismail Jakobs,100.0,11.0,0.0909,27.0,0.037,28.0,Belgium,Senegal,False,Belgium,2.2,3.25,3.5,0.507,1.95,0.4538,3.1,1.42,2.82,0.635,0.3546,0.2809,2.15,3.2,1.25,0.7191,0.365,0.0,0.0,1.0,1.0,126.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
